"BBS_route","reclass","buffer","YEAR","total_pix","km2"
"2310","1","1000",1992,7,0.0063
"2310","2","1000",1992,7447,6.7023
"2310","3","1000",1992,106,0.0954
"2310","6","1000",1992,70656,63.5904
"2310","7","1000",1992,1155,1.0395
"2310","1","10000",1992,2435,2.1915
"2310","2","10000",1992,103693,93.3237
"2310","3","10000",1992,1124,1.0116
"2310","4","10000",1992,68984,62.0856
"2310","5","10000",1992,5567,5.0103
"2310","6","10000",1992,955053,859.5477
"2310","7","10000",1992,9228,8.3052
"2310","2","200",1992,2835,2.5515
"2310","3","200",1992,0,0
"2310","6","200",1992,12854,11.5686
"2310","1","2000",1992,56,0.0504
"2310","2","2000",1992,19434,17.4906
"2310","3","2000",1992,190,0.171
"2310","4","2000",1992,6774,6.0966
"2310","6","2000",1992,140227,126.2043
"2310","7","2000",1992,2215,1.9935
"2310","1","400",1992,0,0
"2310","2","400",1992,3869,3.4821
"2310","3","400",1992,10,0.009
"2310","6","400",1992,27521,24.7689
"2310","7","400",1992,530,0.477
"2310","1","5000",1992,1408,1.2672
"2310","2","5000",1992,52058,46.8522
"2310","3","5000",1992,456,0.4104
"2310","4","5000",1992,17932,16.1388
"2310","5","5000",1992,2512,2.2608
"2310","6","5000",1992,404983,364.4847
"2310","7","5000",1992,4476,4.0284
"2310","4","200",1992,0,0
"2310","5","200",1992,0,0
"2310","7","200",1992,0,0
"2310","4","400",1992,0,0
"2310","5","400",1992,0,0
"2310","4","1000",1992,0,0
"2310","5","1000",1992,0,0
"2310","5","2000",1992,0,0
"2310","1","1000",1993,12.7777777777778,0.0115
"2310","2","1000",1993,7493.11111111111,6.7438
"2310","3","1000",1993,113.111111111111,0.1018
"2310","6","1000",1993,70596.1111111111,63.5365
"2310","7","1000",1993,1155.88888888889,1.0403
"2310","1","10000",1993,2511.11111111111,2.26
"2310","2","10000",1993,103896.222222222,93.5066
"2310","3","10000",1993,1155.77777777778,1.0402
"2310","4","10000",1993,68993.1111111111,62.0938
"2310","5","10000",1993,5568,5.0112
"2310","6","10000",1993,954728.777777778,859.2559
"2310","7","10000",1993,9231,8.3079
"2310","2","200",1993,2838,2.5542
"2310","3","200",1993,3.22222222222222,0.0029
"2310","6","200",1993,12847.7777777778,11.563
